Jeux,Description,Sortie,Test,Avis
StarWing sur SNES,"StarWing, ou StarFox dans la version originale, est le premier jeu à apporter des graphismes en 3D sur Super Nintendo. Aux commandes des Arwing, les nouveaux vaisseaux de l'équipe Star Fox, vous devrez défendre le système planétaire Lylat contre les troupes de l'Empereur Andross. Vous êtes pour cela accompagné de trois autres vaisseaux de qui pourront vous venir en aide ou au contraire avoir besoin de votre secours. Une fois un ami éliminé, il le reste malheureusement pour toute la partie.",3 juin 1993,18/20,17.2/20
Darkest Dungeon,"Darkest Dungeon est un RPG au tour par tour dont l'intérêt repose sur le stress provoqué par l'inconnu. Le joueur devra y monter une équipe de héros et les mener dans des lieux toujours plus effrayants pour leur faire combattre des monstres, mais aussi leurs peurs.",19 janvier 2016,18/20,15.3/20
Theatrhythm Final Fantasy : Curtain Call sur 3DS,"Tiré de la série des Final Fantasy, Theathrhythm Final Fantasy : Curtain Call est le deuxième épisode d'un jeu mêlant défis rythmiques et composantes de jeux de rôle. Le joueur y constitue une équipe de quatre personnages parmi les 60 à débloquer, et les fait monter de niveau dans les trois types de morceaux : voyage, combat et cinématique. Il peut booster les capacités de ses personnages à l'aide de carte, et faire des duels contre l'IA ou d'autres joueurs en local ou en ligne.",16 septembre 2014,18/20,17.5/20
Pilotwings,"Pilotwings vous apprend à piloter votre console virtuelle Wii U. Aux commandes d'un avion ou d'un hélicoptère, vous apprendrez à piloter en suivant les missions, du décollage à l'atterrissage, en passant par le tir. Vous devrez également maîtriser le saut en parachute depuis votre avion en essayant d'atterrir sur une cible au sol.",21 janvier 1993,18/20,16.8/20
Sonic 3,Sonic 3 est un jeu de plates-formes sur Xbox Live Arcade. Sonic et Tails doivent stopper le Dr. Robotnik qui compte bien reconstruire son Oeuf de la Mort. Il faudra récupérer tous les Chaos Emeralds au cours des six zones du jeu (chacune étant trois fois plus vaste que celles de l'opus précédent). Il s'agit toujours de traverser les niveaux à toute vitesse en ramassant un maximum d'anneaux mais un adversaire plus coriace va venir se frotter à nos héros : Knuckles.,1994,18/20,18.5/20
Pillars of Eternity,Pillars of Eternity est un RPG solo dont l'histoire se passe dans un univers de fantasy. Le joueur y crée son avatar et peut ensuite recruter un maximum de 5 compagnons pour l'aider. Le système de combat est en temps réel et avec une pause active.,26 mars 2015,18/20,16.1/20
Empire : Total War,"Empire : Total War est un jeu de stratégie reprenant les bases de la série du même nom, mais adaptées au niveau de l'océan et des batailles navales. Il faudra, suivant une trame historique, vaincre les flottes ennemies et partir à l'abordage sur de nombreuses cartes variées.",4 mars 2009,18/20,16.8/20
Shogo : Mobile Armor Division,"Shogo : Mobile Armor Division est un jeu de tir à la première personne sur PC. Tout au long des nombreux niveaux de Shogo (environ une quarantaine), vous opérerez en extérieur, dans des bases spatiales ou dans des dédales de souterrains. Vous serez en permanence en liaison radio avec vos supérieurs qui vous diront étape après étape comment doit se dérouler votre mission.",1998,18/20,17.6/20
Gremlins 2 : The New Batch sur Nes,Gremlins 2 : The New Batch est un jeu de plates-formes/action sur Nes. Incarnez le célèbre Gizmo qui doit rejoindre le Centre de contrôle des Gremlins afin de tous les éliminer. Ce jeu se déroule en plusieurs tableaux dans lesquels il faut se frayer un passage en évitant et en affrontant les obstacles par le biais de bonus (un arc par exemple).,1991,18/20,17.1/20
Tearaway sur Vita,"Tearaway est un jeu de plates-formes sur PlayStation Vita. On y incarne Iota qui va devoir partir à l'aventure dans un monde de papier. Pour l'aider, le joueur utilise également les pavés tactiles avant et arrière de la console afin d'interagir avec les décors du jeu en les déchirant littéralement grâce à ses doigts.",22 novembre 2013,18/20,17.8/20
Professeur Layton et le Destin Perdu sur DS,"Troisième volet de la fameuse série, Professeur Layton : Le Destin Perdu sur DS vous amènera dans le Londres du futur. Après avoir été mystérieusement transporté, le professeur et Luke devront tenter de s'échapper pour éviter tout conflit temporel.",22 octobre 2010,18/20,18.3/20
Phantasy Star Online,"Phantasy Star Online sur PC est un jeu d'action multijoueur en ligne. L'ambiance du jeu mêle la science-fiction futuriste avec des accents d'heroïc-fantasy. Vous créez votre personnage en choisissant sa race, son métier, ses proportions et son équipement.",15 février 2001,18/20,17.6/20
Halo 2,"Halo 2 sur PC est un jeu de tir à la première personne qui plonge le joueur dans un univers de science-fiction. Enferrée dans une guerre presque perdue d'avance contre des extraterrestres, l'humanité ne compte plus que sur le Master Chief pour son salut. Au-delà de son mode solo dynamique, Halo 2 se distingue surtout par son multijoueur qu'il est possible de pratiquer en local ou sur le Live.",10 novembre 2004,18/20,18.3/20
Divinity : Original Sin,"Jeu de rôle au tour par tour, Divinity : Original Sin se passe 8 millénaires après les événements de Divinity : Dragon Commander. Prenant place dans un univers heroïc-fantasy et s'inspirant des mécaniques des premiers jeux de rôle tels que Donjons et Dragons, le jeu comprend un mode multijoueur.",30 juin 2014,18/20,16.8/20
MechWarrior 3 sur PC,"MechWarrior 3 est un jeu d'action sorti sur PC qui vous place aux commandes de robots géants de 10 mètres de haut et de plus de 100 tonnes. Ces mastodontes d'acier sont équipés d'armes sophistiquées (laser, roquettes, mitrailleuses...) et de possibilités de visée particulières (cadrage de cible, zoom).",Juin 1999,18/20,17.2/20
A Golden Wake,A Golden Wake est un jeu de Point'n Click rétro en 2D se déroulant dans les années 20. Le joueur y incarne Alfie dans sa quête pour la gloire en Californie qui le mêlera a des histoires mafieuses impliquant drogue et alcool...,9 octobre 2014,18/20,17.7/20
Super Mario Bros. Deluxe,"Super Mario Bros. Deluxe est un jeu de plates-formes sur console virtuelle 3DS. La princesse Toadstool a été enlevée par le terrible Bowser. A vous de la délivrer. Mais, pour cela, vous devez franchir moult pièges tendus par vos ennemis, et traverser de nombreux niveaux, de plates-formes en escaliers, de tuyaux et de falaises escarpées.",10 mai 1999,18/20,
Shadow Complex sur 360,"Shadow Complex est un jeu d'action. Vous y incarnez Jason Fleming, un jeune homme qui tombe par hasard sur un complexe militaire secret lors d'une randonnée. Le jeu propose un gameplay en 2D puisque vous ne pouvez déplacer votre personnage que sur un seul plan. Les environnements sont par contre modélisés en 3D et bénéficient d'ailleurs du moteur graphique Unreal Engine 3.",19 août 2009,18/20,
Little Big Adventure 2 sur PC,"Little Big Adventure 2 est un jeu d'aventure sur PC qui vous emmène sur la planète Twinsun pour incarner Twinsen, le héros du premier opus. Alors que votre femme vous demande d'aller chercher des médicaments pour soigner votre Dino-fly (un croisement entre un dragon et un dinosaure), vous assistez au débarquement d'extraterrestres, les Esmers, qui se disent pacifiques ! Mais la vérité est tout autre puisqu'ils préparent une invasion ! Twinsen repart alors à l'aventure pour les arrêter !",1997,18/20,19.2/20
La Légende de Thor,"Dans le jeu de rôle/action La Légende de Thor sur Console Virtuelle, incarnez le prince Ali, détenteur du bracelet d'or capable d'invoquer les esprits. Vous devez lutter contre le propriétaire du bracelet d'argent qui, lui, sème le chaos et la destruction. Parcourez les terres de votre royaume et apprenez à maîtriser les différents pouvoirs de votre bracelet pour renvoyer les créatures dans l'autre monde.",1995,18/20,17.1/20
Metal Gear Solid V : The Phantom Pain,"Metal Gear Solid V : The Phantom Pain nous permet de retrouver Big Boss qui va devoir séjourner quelque temps en Afghanistan et en Afrique pour mener à bien la nouvelle mission qui lui est confiée. Pour se faire, il pourra compter sur son ami de toujours, Revolver Ocelot.",1er septembre 2015,18/20,17.8/20
Le Sanglot des Cigales sur PC,"Dans le district de Shishibone, il existe un tout petit village reclus de tout : Hinamizawa. Cet endroit qui ne compte pas 2000 âmes est frappé chaque année. Le Sanglot des Cigales sur PC est un roman sonore d'enquête. C'est à vous, lecteur, de vous creuser les méninges. Vous pouvez abandonner et vous laisser porter par l'histoire. Vous pouvez aussi vous rebeller et tenter de résoudre l'énigme. Libre à vous de choisir la manière d'apprécier cette histoire.",Juin 2010,18/20,17.9/20
Donkey Kong Country Returns,"Donkey Kong Country Returns sur Wii U est un jeu de plates-formes fortement inspiré par le Donkey Kong Country sorti sur Super Nes. Incarnez Donkey et Diddy Kong alors qu'ils s'efforcent de remettre la patte sur leur stock de bananes dans une aventure proposant un gameplay à l'ancienne, tout en 2D.",3 décembre 2010,18/20,17.9/20
Silver,Silver sur PC est un jeu de rôle à dominante d'action dont le scénario catastrophe en interpellera plus d'un puisque toutes les femmes de votre royaume ont été enlevées. Il vous incombe le devoir de les retrouver pour retrouver un certain équilibre.,Avril 1999,18/20,18.4/20
The Chronicles of Riddick : Escape from Butcher Bay - Developer's Cut sur PC,"The Chronicles of Riddick : Escape from Butcher Bay - Developer's Cut est un jeu de tir à la première personne sur PC vous mettant dans la peau du héros éponyme incarné par Vin Diesel au cinéma. Les événements se déroulent entre les deux films, racontant la fuite du héros bourru et bourrin du pénitencier de Butcher Bay. Frayez-vous un passage derrière des gardes peu attentifs et abusez de votre vision nocturne pour vous sortir de cet enfer.",4 février 2005,18/20,17.4/20
Virtua Fighter 4 Evolution,"Virtua Fighter 4 Evolution est un jeu de combat sur PS3. Cette version spéciale du 4ème opus de la série connue pour être technique apporte de nombreux ajouts. Deux nouveaux personnages sont ainsi à accueillir avec Brad Burns, adepte du kickboxing, et Goh Hinogami. Un mode Quest est aussi présent où le joueur pourra gagner de l'argent afin de débloquer des accessoires.",20 juin 2003,18/20,16.4/20
Age of Mythology sur PC,Age of Mythology est un jeu de stratégie sorti sur PC. Incarnez une des 3 civilisations antiques possédant chacune des unités particulières. Appelez à la rescousse les dieux et usez de leurs divins pouvoirs pour réduire à néant vos adversaires.,20 novembre 2002,18/20,18.1/20
Phantasy Star IV : The End Of The Millennium,"Dans le jeu de rôle Phantasy Star IV sur Console Virtuelle, vous dirigez Chaz, un jeune mercenaire appartenant à la guilde d'Aiedo. Alors que Dark Force, une entité maléfique, ressurgit des ténèbres grâce au mage noir Zio, vous avez été choisi pour rassembler une équipe et mettre un terme à cette menace une bonne fois pour toutes. Votre route sera parsemée de nombreux combats à régler au tour par tour.",1994,18/20,18.8/20
Rayman,"Dans le monde de Rayman, la nature et les habitants vivent en paix et Le Grand Protoon maintient l'équilibre et l'harmonie de cet univers. Jusqu'au jour où l'horrible Mister Dark le dérobe, plongeant le monde dans le chaos et les ténèbres. Rayman devra trouver et délivrer tous les toons puis anéantir Mister Dark pour délivrer le Grand Protoon. Rayman est une des références du jeu de plates-formes.",30 octobre 1995,18/20,18.9/20
World of Goo,"Puzzle-game nouvelle génération, World of Goo sur PC vous invite à faire la connaissance des Goo Balls. Ces petites boules de goudron s'assemblent et vous permettent de réaliser différentes constructions ou structures improbables. Créez des tour, des ponts ou encore des échelles pour faire franchir les niveaux à vos Goos.",19 décembre 2008,18/20,18.5/20
Dungeon Keeper 2 sur PC,Dungeon Keeper 2 est un jeu de stratégie sorti sur PC. Lassé d'être un aventurier sauvant la veuve et l'orphelin ? Alors devenez propriétaire d'un donjon et piégez-le pour empêcher les héros de s'y aventurer. Vous pourrez même incarner les monstres que vous placerez.,Juillet 1999,18/20,18/20
Gunstar Heroes,"Gunstar Heroes est un subtil mélange de jeu de tir et de jeu de plates-formes. Vous incarnez seul ou à deux, les Gunstar Heroes, en charge d'empêcher le redoutable Colonel Red de libérer une créature immonde. Vous choisissez parmi quatre armes, qui peuvent être associées à d'autres. Vous avez aussi la possibilité de faire usage de vos poings et de balancer vos ennemis. Des boss colossaux seront à battre pour terminer le jeu.",1993,18/20,16.6/20
Darksiders,Darksiders est un jeu d'aventure et d'action ou le joueur incarne un des quatre cavaliers de L'Apocalypse arpentant la terre après la fin du monde. Le titre alterne des phases de combats colossales avec des phases d'exploration.,6 janvier 2010,18/20,17.6/20
Jet Set Radio,"Jet Set Radio sur PC est le portage du jeu du même nom sorti à l'origine sur Dreamcast. Doté d'un style graphique en cel shading, le jeu consiste à se balader, rollers aux pieds, dans Tokyo-to, en taguant votre marque par dessus celle des autres gangs. Vous êtes poursuivi par un commissaire de police qui usera de moyens de plus en plus impressionnants pour vous arrêter. Le tout se déroule sur fond de musique mixée par le déjanté Professeur K.",24 novembre 2000,18/20,18.9/20
Hatsune Miku : Project Diva F,,4 septembre 2013,18/20,18.4/20
Vanquish,"Vanquish sur PC est une version remaster du jeu de tir à la troisième personne, sorti en 2010 et vous plongeant dans un univers futuriste . La Russie a déclenché un nouveau conflit majeur et les forces américaines doivent reprendre une colonie spatiale qui est tombée sous le contrôle d'une horde de robots. Dans ce contexte, vous incarnez Sam Gideon, un agent de la DARPA doté d'une armure de combat capable de décupler les capacités humaines.",22 octobre 2010,18/20,17.2/20
Super Mario World,"Super Mario World sur Console Virtuelle Wii U vous fait incarner le plombier Mario, à la poursuite de Bowser qui a kidnappé pour la énième fois la princesse Peach. Exploitez de nouveaux objets tels que la plume permettant aux héros de planer pendant un court instant, et faites surtout connaissance avec le petit dinosaure vert Yoshi qui apparaît avec sa tribu pour la toute première fois dans la série.",1992,18/20,18.8/20
Wario Land 4,"Wario Land 4 est un jeu de plates-formes/action sur la console virtuelle Wii U. Vous incarnez Wario et partez en quête de la légendaire Pyramide d'Or. Choisissez votre niveau de difficulté, affrontez ennemis et boss peuplant les différentes zones et ramassez le plus de trésors possible.",16 novembre 2001,18/20,17.2/20
